Category,Subcategory,Finding,Date,Time/Period,Monetary Value,Source,Key Players,Potential Connections,Investigative Leads,Cross References,Notes
Technology,Core Function,ADS-B network with 50000+ ground receivers,2025,Current,$0 (volunteer network),FlightRadar24,Volunteers globally,Crowdsourced surveillance,How many receivers in sensitive areas?,Privacy implications,Each receiver covers 250-450km radius
Technology,Core Function,MLAT requires 3+ receivers for triangulation,2024-2025,Current,N/A,FlightRadar24,N/A,Older aircraft tracking,Which aircraft lack ADS-B?,ADS-B mandate timeline,Reduced from 4 to 3 receivers recently
Technology,Coverage,Satellite-based ADS-B for oceanic coverage,March 2020,Launched 2020,Unknown cost,Multiple providers,Satellite operators,Global surveillance capability,Who owns the satellites?,Military applications,Blue icons on map = satellite tracked
Technology,DIY Tracking,$20 DIY ADS-B receiver possible,2023,Current,$20,Community forums,Hobbyists/Linux developers,Bypasses all blocking,GitHub repositories for code,ADS-B Exchange community,Raspberry Pi + antenna setup
Business,Revenue,FlightRadar24 revenue >$20M in 2021,2021,Annual,>$20 million,Swedish financial filings,FlightRadar24 AB Sweden,Doubling revenue 2018-2021,What's 2024 revenue?,Flight tracking market growth,More than doubled from 2018
Business,Acquisition,Raytheon bought FlightAware for ~$100M,Pre-2021,One-time,$100 million (est),SEC filings,Raytheon/FlightAware,Defense contractor control,Why does Raytheon want flight data?,Military-industrial complex,Total deal was $1.1B with another company
Business,Acquisition,ADSBX sold to JetNet/Silversmith Capital,January 2023,2023,Undisclosed amount,Forbes reporting,Dan Streiffert/JetNet/Silversmith,Profit motive vs open data,Track ownership changes,Community backlash,Boston-based private equity
Business,Market,Flight tracking industry rapid growth,2018-2025,7 year trend,Unknown total,Industry analysis,Multiple companies,Increasing value of data,Who else is entering market?,Data monetization models,Aviation industry wants historical data
Legal,GDPR,Swedish authority reprimanded FR24,August 2025,2025,Potential fines avoided,Swedish IMY,FlightRadar24/Complainants,Aircraft data = personal data,EU-wide enforcement pattern,Privacy vs transparency,Only 10-20 erasure requests total
Legal,Blocking,FAA LADD program for privacy,2022-current,Ongoing,Free service,FAA,Private aircraft owners,US-centric solution,International equivalents?,US vs EU approaches,FR24 respects LADD
Legal,Blocking,Privacy ICAO Address (PIA) Program,Post-2020,Ongoing,Free to operators,FAA,Private operators,Temporary anonymization,How many using PIA?,Alternative ICAO codes,Provides alternative aircraft address
Legal,Anti-Blocking,ADSBX refuses all blocking requests,2017-2023,Policy,N/A,ADSBX Exchange,Community feeders,Ideological commitment,Post-acquisition policy?,Ethical boundaries,"Never censor or block" motto
Legal,Geopolitical,China banned FR24 from app stores,November 2021,2021 ban,Lost market access,CCTV/Chinese authorities,FlightRadar24,National security vs openness,Other countries banning?,Authoritarian responses,Confiscated ADS-B devices
Investigation,FBI Surveillance,FBI/DHS planes circling US cities exposed,2016,Ongoing,Unknown program cost,BuzzFeed/Peter Aldhous,FBI/DHS/Peter Aldhous,Domestic surveillance revealed,FOIA requests for costs?,Surveillance state scale,Machine learning identified more planes
Investigation,Oligarch Tracking,Russian oligarch jet tracking post-invasion,Feb 2022-current,Ongoing,N/A,Multiple sources,Russian oligarchs,Sanctions enforcement,Asset seizure coordination,Ukraine war timeline,Massive public interest spike
Investigation,Dictator Alert,80% traffic increase after Ukraine invasion,March 2022,28 days,N/A,Dictator Alert Twitter,François Pilet/Emmanuel Freudenthal,Geneva airport oligarch traffic,Funding sources?,Investigative journalism tools,Launched April 2016
Investigation,Prigozhin,Business jets tracked to reveal Africa ops,2019-2022,Multi-year,N/A,OCCRP,Evgeny Prigozhin,Wagner Group activities,Flight patterns to conflict zones,Russian private military,Putin associate tracking
Investigation,Nancy Pelosi,SPAR19 most tracked flight ever,August 2 2022,Single flight,N/A,FlightRadar24,Nancy Pelosi/US gov,China deterrence effect,Diplomatic impact analysis?,Geopolitical tensions,2.92M users tracked; 708K at landing
Investigation,Somalia Ops,US surveillance from Kenya tracked,2020s,Multi-year,Unknown cost,OCCRP,US government/Kenya,Drone strike operations,Congressional oversight?,Covert operations exposure,Airstrikes in Somalia
Investigation,Queen Elizabeth,6M users tried to track coffin flight,September 2022,Single event,N/A,FlightRadar24,Royal Family/UK gov,Site crashed from traffic,Royal protocol vs public interest,Major events traffic spikes,4.79M tracked portions
Investigation,Iranian Shootdown,PS752 data provided to Ukrainian police,May 2021,Investigation,N/A,FlightRadar24/Swedish authorities,Ukraine/Iran,International investigation,Other crash investigations?,Accident investigation value,Tehran shootdown 2020
Investigation,Swedish Crash,Örebro crash investigation aided,July 8 2021,Investigation,N/A,Swedish Accident Investigation,FlightRadar24,No black box but 9 data points,How many similar cases?,Alternative evidence source,Small aircraft without recorder
Investigation,Drug Smuggling,FR24 data used in criminal cases,Pre-2025,Ongoing,Unknown,Swedish authorities,Law enforcement,International cooperation,Which cases specifically?,Crime investigation tool,Numerous cases mentioned
Investigation,Boston Globe,1 in 6 US planes have untraceable ownership,2010s,Investigative series,N/A,Boston Globe Spotlight,"Drug dealers, corrupt politicians",Shell company networks,Current ownership gaps?,FAA oversight failures,Secrets in the Sky series
Investigation,Orbán Tracking,Hungarian PM private jet usage,2010s,Ongoing,Lease costs unknown,Átlátszó,Viktor Orbán,Corruption investigation,Who pays for flights?,European autocrats,Leasing makes tracking harder
Privacy,Celebrity,Taylor Swift jet tracking,2022-current,Ongoing,N/A,Various trackers,Taylor Swift,Carbon footprint accountability,PR impact on celebrities?,Climate activism angle,Public backlash to private jets
Privacy,Celebrity,Kylie Jenner jet tracking,2022-current,Ongoing,N/A,Various trackers,Kylie Jenner,Environmental criticism,Influencer responsibility?,Celebrity carbon emissions,Short flight criticism
Privacy,Musk vs Student,Elon Musk vs ElonJet bot,2022-2023,Ongoing legal battle,Offers made to Jack Sweeney,Twitter/Jack Sweeney,Elon Musk/Jack Sweeney,Billionaire privacy vs transparency,Free speech implications?,Tech oligarch power,Now 24hr delayed on Twitter
Privacy,Twitter API,Twitter charging for API access to limit tracking,Feb 2023,Policy change,Paid tier required,Twitter/X,Elon Musk,Monetization vs transparency,Impact on researchers?,Platform control of data,Impediment to tracking
Privacy,Helicopter Owner,Danish CEO GDPR complaint upheld,2025,Single case,N/A,Swedish IMY,Helicopter owner/FR24,Corporate aviation privacy,Business aviation patterns?,Executive travel tracking,Only pilot of company helicopter
Privacy,Yacht Tracking,Putin is a Virus bot tracks superyachts,2016-current,Ongoing,Yacht values $100M+,Marine Traffic/Developer,Russian oligarchs,Parallel maritime surveillance,Coordination with flight data?,Multi-platform tracking,Uses AIS transponders
Security,Military Blocking,Most military aircraft blocked,Current,Policy,N/A,FlightRadar24,World militaries,Operational security,Which militaries visible?,National security doctrine,Security vs privacy reasons
Security,Air Force One,Air Force One typically blocked,Current,Policy,N/A,FlightRadar24,US Secret Service,Presidential security,Other heads of state?,VIP protection protocols,High-profile blocking
Security,Military Visible,Some tankers/AWACS broadcast for deterrence,2024,Operational choice,N/A,Military analysis,US/NATO militaries,Strategic signaling,Intentional transparency?,Military doctrine shifts,Refueling tankers near borders
Security,F-35 Tracking,F-35s tracked while refueling,2024,Operational,N/A,Flight tracking sites,US Air Force,Combat aircraft proximity,Training vs operations?,Stealth aircraft paradox,Near borders during tensions
Security,Terrorism Debate,Terrorism risk debated but dismissed,2015-current,Ongoing,N/A,Aviation experts,Security analysts,Altitude makes targeting impractical,Post-9/11 protocols?,Reinforced cockpits factor,Line-of-sight weapons more practical
Security,Mode S,Older Mode S transponders still tracked,Current,Technology,N/A,Technical forums,Aircraft operators,Legacy systems vulnerability,Upgrade timeline?,Technology transition,MLAT can track these
Technology,Frequency,1090 MHz primary frequency,Current,Technical standard,N/A,Aviation authorities,N/A,International standard,Jamming potential?,Radio spectrum regulation,1090ES for commercial
Technology,UAT,978 MHz UAT in US general aviation,Current,US-specific,N/A,FAA,US GA pilots,Dual frequency system,Why US different?,Regulatory fragmentation,Anonymous mode while squawking 1200
Technology,GPS Spoofing,MLAT helps during GPS jamming,2020s,Conflict zones,N/A,FlightRadar24,Military operations,Electronic warfare detection,Where is jamming occurring?,Hybrid warfare tactics,Alternative positioning when GPS fails
Data,Storage,OpenSky Network saves every message,2015-current,Continuous,Unknown storage costs,OpenSky Network Switzerland,Researchers/volunteers,Permanent historical record,Research access policies?,Academic partnerships,Largest surveillance dataset
Data,Historical,Complete flight history available,2010-current,15+ years,Subscription costs vary,Multiple platforms,Data analysts,Pattern analysis possible,Long-term trend studies?,Behavioral profiling,ADSBX charges for bulk access
Data,Real-time,Near real-time updates (seconds delay),Current,Continuous,N/A,Multiple platforms,Global users,Surveillance capability,Delay variations by region?,Network latency factors,Depends on ADS-B signal availability
Data,Coverage Gaps,Ocean/remote areas limited coverage,Current,Geographic,Satellite costs unknown,Technology limitations,N/A,Blind spots exploitable,Strategic gap locations?,Intentional dark zones,Satellites improving this
Data,Accuracy,MLAT accurate within 10-20 meters,Current,Technical,N/A,FlightRadar24,N/A,Very precise tracking,Comparison to GPS?,Position verification,Better than older radar
Business Model,Free Tier,Free access with limitations,Current,Ongoing,Free,FlightRadar24,30M monthly users,Data monetization,What data is restricted?,Freemium conversion,Basic access available
Business Model,Subscription,Paid tiers bypass waiting room,Current,Ongoing,Unknown pricing,FlightRadar24,Paying subscribers,Priority access model,Revenue from subscriptions?,Pricing tiers analysis,Queue during high traffic
Business Model,Bulk Data,Bulk data sales to industry,Current,Ongoing,Fraction of competitor prices (ADSBX),Data providers,Aviation companies,Industry intelligence,Who buys bulk data?,B2B revenue streams,Historical performance data
Business Model,Photography,Acquired JetPhotos catalog,August 2015,Acquisition,Undisclosed,FlightRadar24,Aviation photographers,Content integration,Photographer compensation?,Visual tracking enhancement,Supplies aircraft images
Geopolitical,Ukraine War,Site crashed during Russian invasion,February 2022,Event,N/A,FlightRadar24,Public globally,War monitoring in real-time,Other conflict monitoring?,Civilian OSINT capability,Tracking flights in/around Ukraine
Geopolitical,Sanctions,Tracking sanctioned oligarchs,2022-current,Ongoing,Asset values $100M-1B+,Multiple outlets,EU/US/UK governments,Enforcement coordination,Sanction effectiveness?,Asset seizure tracking,Yachts and planes combined
Geopolitical,Asset Seizure,Spanish seized $140M yacht using flight data,March 2022,Seizure,$140 million,Arab News,Sergei Chemezov/Spain,Cross-asset tracking,How many total seizures?,Enforcement mechanisms,Valerie yacht in Barcelona
Geopolitical,Abramovich,Roman Abramovich tracked Moscow-Istanbul,March 2022,Multiple flights,N/A,FlightRadar24/Arab News,Roman Abramovich,Mediation attempts?,Meeting with Putin?,Peace negotiation tracking,Tel Aviv-Istanbul-Moscow route
Geopolitical,China Tensions,Pelosi flight tracked during Taiwan visit,August 2 2022,Single event,N/A,FlightRadar24,Nancy Pelosi/China,Deterrence through visibility,Military response correlation?,Transparency as deterrence,Prevented Chinese escalation
Community,Volunteer Network,50000+ volunteer receivers,Current,Growing,Free hardware offered,FlightRadar24,Global volunteers,Crowdsourced infrastructure,Volunteer motivations?,Community engagement,30-50 free sets sent monthly
Community,ADSBX Community,Community angry over ADSBX sale,Jan-Feb 2023,Community reaction,N/A,Hacker News/Forums,Data contributors,Trust breakdown,Alternative platforms?,Open data movement,Many stopped feeding data
Community,GitHub,Open source tracking programs,Current,Ongoing,Free,GitHub community,Developers,Code sharing,Which repos most active?,Technical collaboration,Tracking bot code available
Community,Planespotters,Traditional spotting enhanced by tech,1950s-current,Evolution,N/A,Aviation enthusiasts,Spotters worldwide,Hybrid analog-digital tracking,Community knowledge value?,Photography communities,Visual confirmation of data
Research,Academic,Universities use for research,Current,Ongoing,Grant funded,OpenSky/Universities,Researchers,Traffic analysis studies,Published papers count?,Aviation research,Swiss nonprofit model
Research,Machine Learning,ML used to identify spy planes,2016-current,Ongoing,Unknown,BuzzFeed/Peter Aldhous,Data scientists,Pattern recognition,Algorithm accessibility?,Automated detection,Training data from FBI/DHS planes
Research,Climate,Carbon footprint tracking,2022-current,Growing,N/A,Environmental groups,Activists,Climate accountability,Policy impact?,Celebrity emissions,Private jet emissions calculation
Research,OSINT,Open source intelligence applications,2015-current,Expanding,N/A,Bellingcat/Journalists,OSINT community,Conflict verification,Training programs?,Citizen journalism,Combines with satellite imagery
Ownership,Shell Companies,1 in 6 US planes untraceable ownership,Current,Systemic issue,N/A,Boston Globe,Aircraft owners,Money laundering potential,FAA reform efforts?,Corporate secrecy abuse,Drug dealers use this
Ownership,Offshore,Isle of Man/UK common registration,Current,Ongoing,N/A,Corporate registries,Wealthy individuals,Tax optimization,Beneficial ownership rules?,Offshore financial centers,Privacy jurisdictions
Ownership,Leasing,Leasing makes tracking ownership hard,Current,Common practice,Unknown market size,Business aviation,Corporate executives,Corporate structure complexity,Lease agreement databases?,Financial engineering,Nearly impossible to track payer
Ownership,Tail Numbers,Tail numbers can change but serials can't,Current,Technical,N/A,Aircraft registries,Owners,Tracking evasion,Serial number databases?,Aircraft identity verification,Critical for long-term tracking
Ownership,Registration,Public registration data available,Current,Varies by country,Free to small fee,National authorities,Aircraft owners,Ownership investigation starting point,Cross-jurisdiction comparison?,US vs EU transparency,FAA/CAA databases
Future,Satellite Expansion,Low-orbit satellite coverage expanding,2020-2025,Ongoing,Unknown investment,Aireon/Others,Satellite operators,Complete global coverage,Investment scale?,Space-based surveillance,No ground infrastructure needed
Future,Regulation,Potential regulatory changes,2023-current,Uncertain,N/A,Governments,Legislators,Privacy vs transparency balance,Lobbying efforts?,Policy development,Senate FAA Reauthorization bill
Future,Commercial Growth,Aviation industry wants more data,2020-2025,Growing,Market size unknown,Aviation companies,Fleet operators,Predictive maintenance/optimization,Data analytics market?,Industry transformation,Historical performance tracking
Future,Counter-Measures,Encryption/privacy tech development,Future,Potential,Unknown R&D,Privacy advocates,Tech companies,Arms race scenario,Technical feasibility?,Privacy technology,Conflicts with ATC needs
Ethics,Journalism,Transparency tool for accountability,2016-current,Ongoing,N/A,Investigative journalists,Media organizations,Fourth estate function,Press freedom implications?,Watchdog journalism,Public interest vs privacy
Ethics,Privacy Rights,Individual privacy concerns,Current,Ongoing,N/A,Privacy advocates,Aircraft owners,Right to privacy debate,EU vs US approaches?,Human rights framework,GDPR application
Ethics,Public Interest,Public safety vs security theater,Current,Ongoing,N/A,Experts,General public,Risk assessment,Actual threats vs perceived?,Security policy evaluation,30000+ ft altitude safety
Ethics,Wealth Gap,Exposing billionaire behavior,2022-current,Growing,N/A,Public opinion,General public,Class consciousness,Political mobilization?,Inequality visualization,Private jet as symbol
Ethics,Dual Use,Same tech tracks criminals and activists,Current,Ongoing,N/A,Civil liberties groups,Governments,Surveillance state concerns,Targeting patterns?,Authoritarian applications,Tool neutrality myth
People,Jack Sweeney,College student tracking Elon Musk,2022-current,Ongoing,Musk offered $5000,Media coverage,Elon Musk/Jack Sweeney,Free speech vs harassment,Legal precedents?,Platform power dynamics,UF Florida student
People,Emmanuel Freudenthal,Co-creator Dictator Alert,2016-current,Ongoing,N/A,Dictator Alert,François Pilet,Investigative journalism,Other projects?,Geneva focus,80% traffic increase
People,Peter Aldhous,BuzzFeed spy plane investigation,2016,Investigation,Unknown,BuzzFeed News,FBI/DHS,Government transparency,Current work?,Data journalism pioneer,Machine learning application
People,Dan Streiffert,Sold ADSBX to private equity,January 2023,Sale,Undisclosed,ADSBX/Media,JetNet buyers,Community betrayal?,Financial motivation?,Founder exit,Community backlash
People,Elon Musk,Fighting against jet tracking,2022-current,Ongoing,Twitter acquisition $44B,Twitter/Public,Jack Sweeney,Billionaire privacy fight,Policy influence?,Platform control,Changed Twitter rules
People,Putin Associates,Multiple oligarchs tracked,2022-current,Ongoing,Combined wealth $100B+,Sanctions lists,Russian government,Sanctions evasion,Network mapping?,Power structure,Prigozhin/Chemezov/Abramovich
Cross-Platform,Marine Traffic,Yacht tracking parallel system,2010s-current,Ongoing,Unknown,Marine Traffic,Yacht owners,Multi-asset tracking,Combined databases?,Maritime surveillance,AIS transponders similar
Cross-Platform,Social Media,Twitter bots for automated tracking,2016-current,Growing,N/A,Twitter/Mastodon,Bot creators,Real-time alerts,Platform policies?,Automated journalism,ElonJet/RussianOligarchJets
Cross-Platform,Satellite Imagery,Combines with visual confirmation,Current,OSINT standard,Varies,Commercial satellites,OSINT analysts,Multi-source verification,Which platforms?,Geospatial intelligence,Planet/Maxar imagery
Cross-Platform,OpenCorporates,Company ownership databases,Current,Ongoing,Free tier,OpenCorporates,Researchers,Corporate structure mapping,Offshore linkages?,Beneficial ownership,Global company database
Cross-Platform,ICIJ Leaks,Pandora/Panama Papers connections,2010s-current,Major leaks,Leak value immeasurable,ICIJ,Offshore industry,Shell company networks,Flight patterns to tax havens?,Document leak integration,Cross-reference aircraft ownership
Unanswered,Receiver Locations,Where are 50000 receivers located exactly?,Unknown,N/A,N/A,FlightRadar24,Volunteers,Coverage mapping needed,Strategic placement?,Geographic distribution,Volunteer recruitment
Unanswered,Government Use,Do governments use this for intelligence?,Unknown,Potential,Unknown,Intelligence agencies,Classified,Official vs unofficial use,FOIA requests?,State surveillance,Unofficial acknowledgment
Unanswered,Revenue 2024,Current FlightRadar24 revenue?,2024,N/A,Unknown,Swedish filings,FlightRadar24,Growth trajectory,IPO plans?,Valuation,Financial filings lag
Unanswered,Satellite Operators,Who owns/operates satellite receivers?,Partial info,Ongoing,Unknown cost,Space companies,Multiple providers,Space surveillance economy,Contracts with FR24?,Commercial space,Provider names not disclosed
Unanswered,Blocking Effectiveness,How many actually blocked successfully?,Unknown,N/A,Unknown,Various platforms,Private owners,Effectiveness measurement,Compliance rates?,Policy evaluation,LADD vs reality
Unanswered,Military Visible Count,How many military flights actually visible?,Unknown,N/A,N/A,Spotters,Various militaries,Intentional vs accidental,Classification protocols?,Military transparency,Varies by country
Unanswered,Data Buyers,Who buys bulk flight data?,Partial info,Ongoing,Unknown amounts,Data brokers,Aviation industry,Follow the money,Corporate clients?,Data marketplace,Hedge funds suspected
Unanswered,API Access Costs,What does API access actually cost?,Unknown,Varies,Unknown pricing,Platform providers,Developers,Pricing transparency,Competitor comparison?,Developer access,Tiered pricing suspected
Unanswered,Lobbyist Activity,Who lobbies for/against regulation?,Unknown,Likely ongoing,Unknown,Aviation industry,Lobbyists,Influence mapping,OpenSecrets data?,Policy influence,NBAA involvement
Unanswered,Enforcement,How many privacy requests honored vs ignored?,Partial,Ongoing,N/A,Platforms,Users,Compliance patterns,Audit data?,Platform accountability,10-20 requests to FR24
Unanswered,Alternative Networks,What other tracking networks exist?,Partial,Growing,Unknown,Various,Hobbyists,Network redundancy,Decentralization?,Mesh networks,360Radar/RadarBox mentioned
Unanswered,Criminal Cases,Specific drug smuggling cases using this data?,Unknown,Multiple,Unknown,Law enforcement,Authorities,Case law research,FOIA for cases?,Law enforcement tool,Sweden mentioned use
Unanswered,Sanctions Effectiveness,Did tracking help enforce sanctions?,Unknown,2022-current,Unknown,Governments,Enforcement agencies,Outcome measurement,Asset recovery data?,Policy effectiveness,Anecdotal evidence only
Unanswered,Climate Impact,Actual policy changes from jet tracking?,Unknown,2022-current,Unknown,Governments,Policymakers,Legislative outcomes,Carbon tax proposals?,Accountability effect,Public pressure documented
Unanswered,China Crackdown,How many devices confiscated in China?,Unknown,Oct-Nov 2021,Unknown,Chinese authorities,Hobbyists,Authoritarian response scale,Other countries following?,State control,Hundreds mentioned
Unanswered,Volunteer Motivation,Why do people volunteer receivers?,Partial,Ongoing,Free hardware,Community,Volunteers,Psychology of contribution,Surveys exist?,Community building,30-50 free units monthly
Unanswered,Historical Archive,How far back does complete data go?,Varies,Platform dependent,Storage costs,Platforms,N/A,Data retention policies,Archive access?,Historical research,OpenSky claims "every message"
Unanswered,Accuracy Comparison,GPS vs ADS-B vs MLAT accuracy?,Partial,Technical,N/A,Technical experts,N/A,Methodology comparison,Independent verification?,Technical standards,MLAT: 10-20m accuracy
Unanswered,Integration,How do platforms combine data sources?,Partial,Technical,N/A,Platforms,Engineers,Algorithm transparency,Conflict resolution?,Data fusion,Multiple sources aggregated
Unanswered,Emergency Services,Medical/rescue flight privacy?,Unknown,Ongoing,N/A,Operators,Emergency services,Life safety vs privacy,Policy needed?,Critical infrastructure,Can temporarily disable
Unanswered,Future Tech,Will encryption end public tracking?,Unknown,Future,R&D unknown,Tech companies,Engineers,Technical feasibility,ATC compatibility?,Privacy technology,Conflicts with safety