Category,Subcategory,Entry_Title,Date_Start,Date_End,Key_Figures,Organizations,Location,Technology_Method,Materials_Chemicals,Funding_Source,Monetary_Value,Evidence_Quality,Description,Outcomes,Controversies,Patents_Contracts,Cross_References,Investigative_Leads,Source_Citations,Notes
Modern,Controversy,Jeddah Saudi Arabia Floods,2009,2009,Unknown,Unknown if weather mod involved,Jeddah Saudi Arabia,Unknown if weather modification involved,Unknown,Unknown,Unknown,Secondary - News reports,City of Jeddah damaged by floods that reportedly killed 100+ people. Raised questions about why country doesn't have effective drainage systems.,Ignited questions about infrastructure preparedness for weather events,Lack of adequate weather modification handling systems,Unknown,UAE/Middle East programs,Saudi records,Example of infrastructure not designed for weather modification consequences
Geoengineering,Research Proposal,Stratospheric Aerosol Injection (SAI) Concept,2000s,Present,Multiple scientists,Various research institutions,Theoretical global,Spray reflective particles in stratosphere,Sulfur dioxide/aluminum oxide/calcium carbonate,Research grants,Estimated $5-10 billion annually,Primary - Academic Research,"Proposed method to spray reflective particles into stratosphere to cool planet by reflecting sunlight. Based on volcanic eruption observations (Mt. Pinatubo 1991 cooled Earth 0.5C for year). Multiple materials proposed.",Theoretical only - no deployment has occurred,Major controversy over risks and governance,Research proposals only,David Keith/Harvard research,Academic literature,Estimated cost much lower than climate change damage
Geoengineering,Research Proposal,David Keith Harvard Program,2017,Present,David Keith,Harvard Solar Geoengineering Research Program,Cambridge MA,Research into stratospheric aerosol injection,Various proposed materials,Bill Gates (FICER fund since 2007),Aimed to raise $20 million,Primary - University Program,"Keith launched Harvard Solar Geoengineering Research Program in early 2017, aimed to raise $20 million from billionaires and private foundations. Manages Fund for Innovative Climate and Energy Research (FICER) financed by Bill Gates since 2007.",No deployment - research and modeling only,Controversy over billionaire funding of geoengineering research,Research program,SCoPEx experiment,Harvard public records,Keith is investor in technology he researches
Geoengineering,Research Proposal,SCoPEx - Stratospheric Controlled Perturbation Experiment,2017,Cancelled,David Keith,Harvard University,Planned for Sweden,Proposed limited field test of delivery system,Small amount of particles for test,Harvard / Gates funding,Research budget,Primary - University records,"Planned limited field test to evaluate potential delivery system for stratospheric particles. Received support from EPSRC, NERC, STFC (UK) totaling £2.1 million.",Field testing was cancelled - only lab-based elements continued,Opposition campaign by ETC Group called for suspension. Public consultation found most willing to allow test but very few comfortable with actual use.,Cancelled before deployment,Harvard geoengineering,Published cancellation records,Cancelled due to public opposition
Geoengineering,Research,SPICE Project UK,2012,2014,Multiple scientists,Bristol University,United Kingdom,Stratospheric Particle Injection for Climate Engineering research,Proposed sulfur particles,EPSRC/NERC/STFC,£2.1 million,Primary - Research Grant,"UK government funded project. First UK project aimed at providing evidence-based knowledge about solar radiation management. Public consultation undertaken by Cardiff University.",Field test cancelled but lab work continued,Public extremely hesitant about actual deployment despite allowing research,Research grant,SCoPEx,UK research council records,Public supported research but not deployment
Modern,Startup,Rainmaker Technology Corporation,2023,Present,Augustus Doricko (CEO),Rainmaker,El Segundo CA,Drone-based cloud seeding,Silver iodide and calcium chloride,Seed: $6.3M (2024) / Series A: $25M (2025),Total: $31.3 million+,Primary - Corporate filings/news,"Founded 2023 by Augustus Doricko (age 24-25, UC Berkeley dropout, Thiel Fellow). Uses weather-resistant drones for cloud seeding, novel radar to measure precipitation created. Mission: reverse desertification of American West.",Active operations in Utah, Colorado, Texas, Santa Barbara,Major controversy after Texas floods,Government contracts: Utah/Colorado DNR, Santa Barbara,Texas flood July 2025,Company website/funding announcements/news,First major modern commercial drone-based operation
Modern,Startup,Rainmaker - Funding Seed Round,2024-05,2024-05,Augustus Doricko,Rainmaker,El Segundo CA,N/A,N/A,"Long Journey Ventures, Day One Ventures, Tamarack Global, 1517 Fund, Starship VC, Champion Hill Ventures, Garry Tan, Balaji Srinivasan",$6.3 million,Primary - Corporate announcement,Seed funding round announced May 2024. Investors include prominent Silicon Valley figures.,Enabled initial operations,N/A,Investment round,Peter Thiel connection,Fortune magazine article May 2024,1517 Fund is Thiel-affiliated
Modern,Startup,Rainmaker - Peter Thiel Fellowship,2024,2024,Augustus Doricko,Thiel Fellowship,N/A,N/A,N/A,Peter Thiel,$100000 grant,Primary - Fellowship award,"Doricko received $100,000 Thiel Fellowship for innovators with no college degree. Thiel co-founded Palantir surveillance/defense tech giant.",Provided initial funding and credibility,Palantir connection raises surveillance questions,Fellowship grant,Palantir/Thiel network,Public fellowship announcements,Thiel connection to surveillance tech significant
Modern,Startup,Rainmaker - Series A Funding,2025-07,2025-07,Augustus Doricko,Rainmaker,El Segundo CA,N/A,N/A,"Lowercarbon Capital (lead), Starship Ventures, Long Journey Ventures, Garry Tan, Naval Ravikant",$25 million,Primary - Corporate announcement,"Series A announced July 2025 led by Lowercarbon Capital. Doricko stated funds would scale drone operations, automate forecasting software, grow atmospheric science team.",Major expansion funding,Raised shortly before/after Texas flood controversy,Investment round,Texas flood timing,LA Business Journal / Axios reporting,Timing relative to flood significant
Modern,Startup,Rainmaker - Government Contracts,2024,Present,Augustus Doricko,Rainmaker,Utah/Colorado/California,Drone cloud seeding,Silver iodide/calcium chloride,Government contracts,"$50.04 per drone hour (including materials)",Primary - Company/government records,"Active contracts with Utah and Colorado Departments of Natural Resources, Santa Barbara Public Works Department. Each drone flight costs $50.04/hour including dispersal material and battery recharging.",Operational programs with state governments,Questions about federal oversight,Government service contracts,State weather modification,NOAA reporting requirements,No federal oversight despite NOAA reporting requirement
Modern,Controversy,Rainmaker Texas Flood Incident,2025-07-02,2025-07-04,Augustus Doricko,Rainmaker,Texas (Guadalupe River area),Cloud seeding operations,Silver iodide/calcium chloride,Various contracts,Unknown,Primary - News reports/Company statement,"Rainmaker was operating in Texas region days before historic flooding. Storm dropped 4 inches rain/hour, river rose 26 feet in 45 minutes. Doricko said Rainmaker stopped operations July 2 (day before flood) based on meteorologist forecasts. Texas regulators have weather-based thresholds for suspending ops.",60+ deaths, catastrophic flooding. Company falsely accused of causing disaster.,False accusations despite stopping operations before flood. Similar to Hatfield 1916.,Operations suspended per protocol,Hatfield parallel,News coverage July 2025,Independent climatologists attributed to Tropical Storm Barry remnants
Modern,Political,Marjorie Taylor Greene Weather Mod Bill,2025-07,2025,Rep. Marjorie Taylor Greene,U.S. Congress,Washington DC,Proposed legislation to ban weather modification,N/A,N/A,N/A,Primary - Congressional record,"After Texas flood, Greene introduced bill to make all forms of weather modification a felony. Held hearing titled 'Playing God with the Weather - a Disastrous Forecast' in September. Statement: 'No person, company, entity, or government should ever be allowed to modify our weather by any means possible!'",Bill introduced but status unknown,Extreme position - total ban,Proposed legislation,Texas flood / Rainmaker,Congressional records,Most extreme political response
Modern,Political,RFK Jr MAHA Position on Geoengineering,2025,2025,Robert F. Kennedy Jr,HHS / MAHA movement,United States,Opposition to geoengineering,N/A,N/A,N/A,Primary - Public statements,"Kennedy on Dr. Phil Podcast asked about 'stratospheric aerosol injections' - responded 'I'm going to do everything in my power to stop it.' MAHA movement made geoengineering a key issue.",Political opposition to weather modification research,Conflates cloud seeding with chemtrails and SAI research,Political position,Trump administration,Podcast recording,Doesn't clearly differentiate between cloud seeding and theoretical geoengineering
Modern,Political,Trump EPA Weather Modification Response,2025-07,2025,Lee Zeldin (EPA Administrator),EPA,Washington DC,Released materials on contrails and geoengineering,N/A,Federal budget,Unknown,Primary - EPA release,"Materials debunk chemtrails and government weather manipulation myths but emphasize transparency and public concern rather than outright dismissal. Zeldin: 'Americans have legitimate questions about contrails and geoengineering, and they deserve straight answers.' Also: 'The enthusiasm for experiments that would pump pollutants into the high atmosphere has set off alarm bells here at the Trump EPA.'",Walks line between debunking myths and validating concerns,Unusual framing - neither dismissive nor conspiratorial,EPA materials,Rainmaker Texas flood,EPA website July 2025,Different approach than previous administrations
Modern,State Legislation,Florida Geoengineering Ban,2025-04,2025,Florida Legislature,Florida State Government,Florida,Ban on cloud seeding,N/A,N/A,N/A,Primary - State law,Florida passed geoengineering ban in April 2025 that prohibits cloud seeding.,First state to completely ban the practice,Conflict with water management needs,State legislation,State-by-state responses,Florida statutes,Total prohibition approach
Modern,State Legislation,Montana Geoengineering Ban (Partial),2025-03,2025,Montana Legislature,Montana State Government,Montana,Ban on certain geoengineering but exempts cloud seeding for water,N/A,N/A,N/A,Primary - State law,Montana banned certain geoengineering practices in March but stopped short of banning cloud seeding for water resource management.,Selective ban - exempts water management,Recognizes practical need for water,State legislation,State-by-state responses,Montana statutes,More nuanced than Florida approach
Modern,State Legislation,Utah Weather Modification Position,2025,2025,Sen. John Curtis / Sen. Mike Lee / Joel Ferry (DNR Director),Utah State Government,Utah,Supports cloud seeding despite federal opposition,Silver iodide,State contracts with Rainmaker,Unknown,Primary - News reports,"Utah continues cloud seeding despite national political opposition. Sen. Curtis supports it as state decision. Sen. Mike Lee opposes: 'Putting government in charge of weather is never going to end well.' DNR Director Joel Ferry is strong champion, locals call it 'Ferry dust.'",State continues operations despite controversy,Split among Utah senators - Curtis vs Lee,State program + Rainmaker contract,MAHA opposition,News coverage Nov 2025,State vs federal tension
Modern,State Legislation,Louisiana Weather Mod Bills,2025,2025,Sen. Mike Fesi / Rep. Kim Coates,Louisiana Legislature,Louisiana,Bills to ban weather modification with $200K fine,N/A,N/A,$200000 fine,Primary - Legislative records,"SB 46 (Fesi) and HB 608 (Coates) would ban intentional release of chemicals to alter weather/climate. Coates bill includes $200,000 fine. Fesi claimed '32 different agencies collect money for geoengineering' (unsubstantiated). Only Sen. Barrow challenged claims.",Bills advancing through legislature,Fesi spread debunked conspiracy theory that aluminum oxide from contrails found in fields,Proposed legislation,Contrail conspiracy,Louisiana Illuminator reporting,Senator made false claims about federal geoengineering programs
Modern,Controversy,Rainmaker Technology Corp vs Rainmaker (Different companies),2025,2025,Unknown,Rainmaker Technology Corp,Gulf Coast,Claimed to use charged water particles,Charged water particles (claimed),Unknown,Unknown,Tertiary - Disputed claims,"Separate company 'Rainmaker Technology Corp' (different from Doricko's Rainmaker) conducted experiments along Gulf Coast. Claims to use charged water particles instead of aerosols. University meteorologist: 'It's magic as far as I'm concerned because I have not seen any scientific research done in a proper way that shows any of that is effective.'",No verified results,Adds to public confusion and conspiracy theories about weather modification,NOAA records show experiments,Public confusion,NOAA records / Louisiana Illuminator,Name similarity creates confusion with legitimate Rainmaker company
Research,Academic,Wyoming Weather Modification Pilot Project,2000s,2010s,Multiple research groups,Wyoming government / Universities,Wyoming (Wind River Range),Cloud seeding assessment,Silver iodide,State/federal research grants,Multi-million (estimated),Primary - Research project,"Five-year project with 200 cloud seeding events. Three separate groups assessed data to finally determine if weather control works. Goal was to provide definitive answer about cloud seeding effectiveness.",Results would help Americans face climate change or expose cloud seeding companies as snake oil salesmen,Critical test of decades of claims,Research program,Commercial cloud seeding,Research publications,One of most rigorous scientific assessments
Historical,Folk Method,Cannon Fire Rain Observation,1700s,1800s,Multiple military observers,Various militaries,Europe/Americas,Observation that cannon fire initiates precipitation,Gunpowder combustion,N/A,N/A,Tertiary - Historical observation,"Early modern era saw people observe that during battles, firing of cannons and other firearms often initiated precipitation. This observation led to later experiments.",Led to Dyrenforth experiments and other attempts,Correlation vs causation unclear,N/A,Dyrenforth experiments,Historical military records,Observation ≠ causation but inspired later work
Historical,Cultural,Ancient Weather Rituals (Reference),Ancient,1900s,Various cultures,Indigenous peoples worldwide,Global,Rain dances and rituals,Various ceremonial materials,N/A,N/A,Tertiary - Anthropological record,"Multiple cultures had rain-making practices: Ancient India (yajna/Vedic rituals), Indigenous Americans, Europeans. Greek mythology (Aeolus god of winds). Various other traditions worldwide.",Cultural significance but scientific effectiveness unproven,Modern science generally dismisses but some overlap with atmospheric understanding,N/A,Modern weather modification,Anthropological literature,Included for historical continuity - not deep dive per team decision
Historical,Concept,Pluviculture Studies,1800s,Early 1900s,Charles Hatfield and others,Self-taught practitioners,Americas,Study of rain production methods,Various experimental chemicals,Self-funded,Unknown,Tertiary - Historical practice,"Term 'pluviculture' used for rain-making studies. Hatfield studied this as young man, inspired by water vapor from boiling kettle. Others also studied these methods.",Led to Hatfield's career and methods,Pseudo-science by modern standards but predecessor to real science,N/A,Hatfield career,Historical records,Bridge between folk practice and science
Research,Assessment,World Meteorological Organization Report,2014,2014,WMO scientists,World Meteorological Organization,International,Assessment of global cloud seeding,N/A,WMO funding,Unknown,Primary - International Organization,"2014 report found 52 countries had active cloud seeding programs (up from 47 previous year). 39 weather modification programs active west of Mississippi River in US alone.",Shows dramatic global expansion of practice,Despite lack of conclusive proof, practice expanding,WMO official report,Global programs,WMO archives,Expansion despite scientific uncertainty
Modern,Controversy,HAARP Conspiracy Theories,1990s,Present,Unknown,U.S. Air Force / DARPA,Alaska (Gakona),Ionospheric heating research facility,High-frequency radio waves,U.S. military research,Unknown,Secondary - Documented facility with conspiracy overlay,"High-frequency Active Auroral Research Program. Real ionospheric research facility but subject of extensive conspiracy theories about weather control, mind control, earthquake generation.",Legitimate atmospheric research facility,Extensive conspiracy theories beyond actual function,Military research facility,Weather modification conspiracies,Facility documentation vs conspiracy claims,Real facility weaponized by conspiracy theories
Modern,Controversy,Chemtrails Conspiracy Theory,1990s,Present,N/A,N/A,Global,Claim that contrails are chemical spraying,Claimed: aluminum/barium/strontium,N/A,N/A,Tertiary - Conspiracy theory,"Widespread conspiracy theory that aircraft contrails are deliberate chemical spraying for weather modification, population control, etc. Scientific community unanimously rejects - contrails are water vapor condensation.",No credible evidence supports theory,Conflates real contrails with imagined chemical spraying,N/A,Real SAI research proposals,Debunking literature,Conspiracy theory but worth documenting for context
Assessment,Scientific,Lack of Convincing Proof (NRC 2003),2003,2003,National Research Council scientists,National Research Council,United States,Review of all cloud seeding literature,N/A,NRC budget,Unknown,Primary - Official scientific assessment,"NRC 2003 study 'Critical Issues in Weather Modification Research' concluded: 'no convincing proof' that cloud seeding is effective at increasing precipitation.",Lack of proof has not stopped continued practice or expansion,Science remains uncertain despite decades of attempts,Official report,Ongoing programs,NRC published report,Damning assessment yet practice continues
Modern,Industry,Commercial Cloud Seeding Industry,1950s,Present,Various companies,Multiple private companies,United States,Commercial weather modification services,Silver iodide primarily,Private sector contracts,Industry worth estimated millions annually,Primary - Active industry,Commercial industry exists serving ski resorts, farmers, utilities, water districts. Companies charge for services despite scientific uncertainty.,Active profitable industry,Profit motive despite unproven effectiveness,Commercial contracts,Weather Modification Inc,Industry publications,Business model: charge for attempts not results
Modern,Legal,Weather Modification Liability Issues,1947,Present,Various,Courts,United States,Legal questions about responsibility for weather modification outcomes,N/A,Legal costs,Varies,Primary - Court cases,"First hurricane seeding (1947) resulted in liability lawsuits when hurricane changed course. Hatfield never got paid because city claimed Act of God. Legal framework remains unclear.",No clear legal framework for liability,Who is responsible for weather modification outcomes?,Court cases,Hatfield lawsuit,Legal case archives,Fundamental legal questions unresolved
Modern,Regulatory,NOAA Weather Modification Reporting,Present,Present,Weather modification operators,NOAA,United States,Required reporting of cloud seeding operations,N/A,N/A,N/A,Primary - Federal regulation,Cloud seeding legally required to be reported to NOAA.,Only reporting requirement - no approval or oversight,No federal oversight despite reporting requirement,Regulatory requirement,State programs,NOAA weather modification registry,Reporting without regulation
Modern,Regulatory,State Permit Systems,1950s,Present,Various state agencies,State governments,Various states (Texas/Utah/Colorado/others),State-level permitting of weather modification,N/A,State regulatory budgets,Varies,Primary - State regulations,"States like Texas have permit systems through departments like TDLR (Texas Department of Licensing and Regulation). Operators must obtain permits before cloud seeding.",Patchwork state-by-state regulation,No federal oversight,State permits,TDLR Texas,State regulatory archives,State-by-state approach creates inconsistency