Year,Date,Event,Category,Location,Actors,Technology,Outcome,Evidence_Quality,Source_Type,Impact,Notes
1830,1830s,James Pollard Espy Rain Theory,Theory,United States,James Pollard Espy,Thermal convection theory,Theory published,Primary,Historical Record,Theoretical Foundation,Proposed large fires could induce rainfall through convection
1891,August 1891,Dyrenforth Rain Experiments,Military Test,Texas,General Robert Dyrenforth / USDA,Explosives and cannons,Failed,Primary,Government Record,Military Interest,Congress funded $9000; explosives to stimulate rain; widely ridiculed
1902,1902,Charles Hatfield First Contract,Commercial,Los Angeles California,Charles Hatfield,Secret chemical mixture,Success claimed,Secondary,Historical Record,Commercial Birth,First of many contracts; $50-$10000 fees; established commercial market
1915,December 1915,San Diego Hatfield Contract,Commercial Disaster,San Diego California,Charles Hatfield / San Diego City Council,Chemical evaporation towers,$10000 contract,Primary,Government Record,Catastrophic Flood,Contract signed Dec 1915 for $10K; Hatfield never paid due to disaster
1916,January 1916,San Diego Catastrophic Flood,Disaster,San Diego California,Charles Hatfield,Chemical cloud seeding,Disaster - 20+ deaths,Primary,Historical Record,Major Catastrophe,"Flood destroyed dam, killed 20+, $3.5M damage; Hatfield blamed but never paid"
1924,1924,Early Scientific Attempts,Research,Various,Various scientists,Various experimental methods,Failed attempts,Secondary,Research Record,Scientific Interest,Multiple scientists attempted weather modification before GE success
1946,July 1946,Vincent Schaefer GE Discovery,Scientific Breakthrough,Schenectady New York,Vincent Schaefer / General Electric,Dry ice cloud seeding,Successful snowfall,Primary,Scientific Record,Major Breakthrough,First scientifically successful weather modification; lab accident discovery
1947,1947,Project Cirrus Begin,Military Research,United States,GE / US Military,Cloud seeding experiments,Research program,Primary,Government Record,Military Application,First large-scale military weather modification experiments
1947,1947,Bernard Vonnegut Silver Iodide,Scientific Discovery,Schenectady New York,Bernard Vonnegut / General Electric,Silver iodide seeding,Successful technique,Primary,Scientific Record,Technical Advancement,Silver iodide becomes standard seeding agent; still used today
1952,1952,Project Cirrus End,Research Conclusion,United States,GE / US Military,Cloud seeding,Program concluded,Primary,Government Record,Research Phase End,Ended after 5 years of experiments; mixed results
1958,January 1958,Charles Hatfield Death,Historical,California,Charles Hatfield,N/A,Secret formula died with him,Primary,Historical Record,End of Era,Died without revealing his chemical formula; mystery remains
1962,1962,Project Stormfury Begin,Hurricane Research,Atlantic Ocean,NOAA / US Navy,Hurricane silver iodide seeding,Research program,Primary,Government Record,Hurricane Modification,21-year program attempting to weaken hurricanes
1967,March 1967,Operation Popeye Begin,Military Weather Warfare,Vietnam Laos Cambodia,US Air Force / CIA,Cloud seeding to extend monsoon,Classified operation,Primary,Declassified Military Record,Weather as Weapon,"Highly classified; extended monsoon season over Ho Chi Minh Trail; ""Make mud not war"""
1972,July 1972,Operation Popeye End,Military Operation End,Southeast Asia,US Air Force,Cloud seeding weather warfare,Operation concluded,Primary,Declassified Military Record,Treaty Catalyst,Ended after 5 years; led to international treaty negotiations
1977,May 1977,UN Weather Warfare Ban,International Treaty,United Nations,77 nations,N/A,ENMOD Convention,Primary,International Treaty,International Law,"Environmental Modification Convention banned military weather modification; effective October 1978"
1983,1983,Project Stormfury End,Research Conclusion,Atlantic Ocean,NOAA,Hurricane modification attempts,Inconclusive results,Primary,Government Record,Research Failure,21-year program ended; couldn't prove effectiveness; hurricanes too powerful
1985,January 1985,Eastlund HAARP Patent Filed,Patent Application,United States,Bernard Eastlund / APTI,Ionospheric radio wave heating,Patent filed,Primary,Patent Record,Technology Foundation,US Patent 4686605; method for altering atmosphere ionosphere region
1987,August 1987,Eastlund Patent Issued,Patent Grant,United States,Bernard Eastlund / APTI,Ionospheric modification,Patent US 4686605 granted,Primary,Patent Record,Legal Protection,Foundation for HAARP technology development
1990,1990,HAARP Program Initiated,Military Research,Gakona Alaska,DOD / Navy / Air Force,Ionospheric research facility,Construction begin,Primary,Government Record,Major Infrastructure,High-frequency Active Auroral Research Program established
1993,1993,HAARP Facility Operational,Research Facility,Gakona Alaska,DOD / Navy / Air Force,Ionospheric transmitter array,Facility operational,Primary,Government Record,Operational Capability,3.6 MW transmitter; 180 antennas; most powerful ionospheric heater
1994,1994,E-Systems Buys APTI Patents,Corporate Acquisition,United States,E-Systems,Patent acquisition,APTI purchased $35M,Primary,Corporate Record,Defense Contractor Control,E-Systems (intelligence/classified contractor) acquired Eastlund patents
1995,1995,Raytheon Buys E-Systems,Major Acquisition,United States,Raytheon,Corporate acquisition,$2.3B acquisition,Primary,Corporate Record,Major Defense Control,Raytheon acquired all HAARP-related patents through E-Systems purchase
1996,June 1996,Owning the Weather in 2025,Military Doctrine,United States,US Air Force,Strategic white paper,Doctrine published,Primary,Military Publication,Doctrine Established,"USAF document outlining weather as force multiplier; 5 technological capabilities by 2025"
2003,2003,Palantir Technologies Founded,Company Formation,Palo Alto California,Peter Thiel and co-founders,Surveillance and data analytics,Company founded,Primary,Corporate Record,Surveillance Company,Founded by Peter Thiel; would later connect to weather intelligence
2008,August 2008,Beijing Olympics Weather Modification,Government Operation,Beijing China,Chinese government,1000+ rockets cloud seeding,Clear skies achieved,Primary,News Record,Largest Operation,Largest documented weather modification operation; ensured clear Olympics
2014,2014,Rhode Island First Geoengineering Bill,State Legislation,Rhode Island,Rep. Justin Price (R),Geoengineering ban legislation,Bill proposed,Primary,Legislative Record,First State Bill,First US state geoengineering ban bill; sponsor believed chemtrails occurring
2015,August 2015,HAARP Transferred to UAF,Facility Transfer,Gakona Alaska,University of Alaska Fairbanks,Ionospheric research facility,Military to academic transfer,Primary,Government Record,Academic Control,HAARP transferred from military to university control
2016,2016,Tomorrow.io Founded as ClimaCell,Company Formation,Boston Massachusetts,Founders,Weather intelligence platform,Company founded,Primary,Corporate Record,Weather Tech Startup,Would become major weather satellite/intelligence company
2017,2017,Raytheon NOAA Weather Contract,Government Contract,United States,Raytheon / NOAA,Weather forecasting systems,$269M 8-year contract,Primary,Government Contract,Weather Infrastructure Control,Raytheon controls US official weather forecast generation
2021,May 2021,Tomorrow.io Air Force Contract,Military Contract,United States,Tomorrow.io / US Air Force,Weather satellite funding,$19.3M,Primary,Government Contract,Military Weather Intel,Funded first 4 Tomorrow.io satellites
2021,2021,TITAN Competition Begin,Military Procurement,United States,Raytheon vs Palantir,AI targeting system,Competition initiated,Primary,Government Record,Weather-Aware Targeting,Army battlefield targeting system with weather integration
2022,2022,Make Sunsets Founded,Company Formation,United States,Geoengineering entrepreneurs,Stratospheric sulfur injection,Company founded,Primary,Corporate Record,Controversial Startup,Solar radiation management startup; high-altitude balloons
2023,April 2023,Tomorrow.io R-1 Satellite Launch,Satellite Deployment,Vandenberg Space Force Base,Tomorrow.io / SpaceX,First commercial weather radar satellite,Successful launch,Primary,Corporate/Government Record,Commercial Constellation,First of 32-satellite constellation; active microwave radar
2023,May 2023,Tomorrow.io Space Force Contract,Military Contract,United States,Tomorrow.io / US Space Force,Additional satellites,$10.3M,Primary,Government Contract,Constellation Expansion,Funded 2 additional satellites
2023,June 2023,Tomorrow.io Series E Funding,Venture Capital,Boston Massachusetts,"Tomorrow.io, RTX Ventures, investors",$87M funding round,$87M raised,Primary,Corporate Record,Defense Contractor Investment,RTX Ventures (Raytheon) invested in weather satellite company
2023,June 2023,Tomorrow.io R-2 Satellite Launch,Satellite Deployment,Space,Tomorrow.io / SpaceX,Second commercial weather satellite,Successful launch,Primary,Corporate Record,Constellation Growth,Second satellite operational; SpaceX Transporter-8
2024,April 2024,Tennessee Geoengineering Ban,State Legislation,Tennessee,Tennessee Legislature / Gov. Bill Lee,Geoengineering prohibition,HB2063/SB2691 enacted,Primary,Legislative Record,First State Ban,"First state to criminalize geoengineering; Class E felony penalties; federal government targeted"
2024,April 2024,Dubai Massive Flooding,Weather Event,Dubai UAE,UAE government cloud seeding program,Cloud seeding blamed,Catastrophic flooding,Secondary,News Record,Modern Disaster Blame,"Flooding blamed on cloud seeding despite questions; echoes Hatfield pattern"
2024,2024,Palantir Wins TITAN Contract,Military Contract,United States,Palantir Technologies,AI targeting system,$178.4M 4-year contract,Primary,Government Contract,Weather-Integrated Targeting,Beat Raytheon; weather-aware battlefield targeting system
2024,Fall 2024,Multiple State Bills Introduced,State Legislation,Multiple states,Various Republican sponsors,Geoengineering ban bills,Various outcomes,Primary,Legislative Records,State Movement,"Kentucky, South Dakota, New Hampshire, Arizona, others introduced bills"
2024,2024,Zero Geoengineering Activism,Activist Movement,Multiple states,Zero Geoengineering organization,Legislative advocacy,Multi-state coordination,Secondary,News/Organization Records,Coordinated Campaign,Primary backer of state geoengineering ban legislation
2025,January 2025,Kentucky New Bills Filed,State Legislation,Kentucky,Rep. John Hodgson (R) / Sen. Steve Rawlings (R),Geoengineering restrictions,HB22/SB62 in committee,Primary,Legislative Record,Continued Push,Sponsors cite chemtrail concerns; reference Marjorie Taylor Greene
2025,June 2025,Florida Geoengineering Ban,State Legislation,Florida,Florida Legislature / Gov. Ron DeSantis,Geoengineering prohibition,SB56 enacted; effective July 1,Primary,Legislative Record,Second State Ban,"Includes citizen reporting via DEP; airport operators monthly reports; Make Sunsets targeted"
2025,July 2025,Palantir-Tomorrow.io Partnership,Strategic Partnership,United States,Palantir / Tomorrow.io,Weather AI integration,Partnership announced,Primary,Corporate Announcement,Critical Integration,"Automated weather-aware actions without human intervention; FedRAMP accredited; TITAN integration"
2025,July 2025,Texas Flooding After Cloud Seeding,Weather Event,Texas,Texas cloud seeding programs,Active cloud seeding programs,Major flooding,Secondary,News Record,Political Explosion,"Flooding blamed on cloud seeding; political controversy; echoes Hatfield/Dubai pattern"
2025,November 2025,Master Research Hub Created,Research Documentation,United States,Truth-Seeking Investigation,Comprehensive research system,Database compiled,Primary,Research Documentation,Knowledge Integration,Complete integration of 300 years weather modification research